inst,ub,lb
VFR60_10_6_Gap.txt,3594,3448
VFR60_10_7_Gap.txt,3654,3501
VFR60_10_8_Gap.txt,3552,3402
VFR60_10_9_Gap.txt,3685,3529
VFR60_10_10_Gap.txt,3492,3346
VFR10_15_1_Gap.txt,1307,921
VFR10_15_2_Gap.txt,1399,988
VFR10_15_3_Gap.txt,1398,996
VFR10_15_4_Gap.txt,1452,1041
VFR10_15_5_Gap.txt,1373,992
VFR10_15_6_Gap.txt,1329,964
VFR10_15_7_Gap.txt,1445,1049
VFR10_15_8_Gap.txt,1443,1048
VFR10_15_9_Gap.txt,1428,1058
VFR10_15_10_Gap.txt,1461,1085
VFR20_15_1_Gap.txt,1936,1525
VFR20_15_2_Gap.txt,1905,1526
VFR20_15_3_Gap.txt,1798,1453
VFR20_15_4_Gap.txt,1813,1466
VFR20_15_5_Gap.txt,1875,1517
VFR20_15_6_Gap.txt,1960,1587
VFR20_15_7_Gap.txt,1933,1566
VFR20_15_8_Gap.txt,1822,1477
VFR20_15_9_Gap.txt,1940,1575
VFR20_15_10_Gap.txt,1861,1511
VFR30_15_1_Gap.txt,2381,1999
VFR30_15_2_Gap.txt,2318,1952
VFR30_15_3_Gap.txt,2304,1950
VFR30_15_4_Gap.txt,2444,2079
VFR30_15_5_Gap.txt,2423,2062
VFR30_15_6_Gap.txt,2306,1968
VFR30_15_7_Gap.txt,2316,1978
VFR30_15_8_Gap.txt,2366,2019
VFR30_15_9_Gap.txt,2259,1929
VFR30_15_10_Gap.txt,2385,2047
VFR40_15_1_Gap.txt,3011,2624
VFR40_15_2_Gap.txt,2821,2491
VFR40_15_3_Gap.txt,2906,2572
VFR40_15_4_Gap.txt,2919,2576
VFR40_15_5_Gap.txt,2945,2615
VFR40_15_6_Gap.txt,2805,2494
VFR40_15_7_Gap.txt,2868,2555
VFR40_15_8_Gap.txt,2900,2578
VFR40_15_9_Gap.txt,2708,2407
VFR40_15_10_Gap.txt,2945,2625
VFR50_15_1_Gap.txt,3316,2988
VFR50_15_2_Gap.txt,3347,3037
VFR50_15_3_Gap.txt,3301,2998
VFR50_15_4_Gap.txt,3521,3192
VFR50_15_5_Gap.txt,3334,3039
VFR50_15_6_Gap.txt,3346,3042
VFR50_15_7_Gap.txt,3490,3181
VFR50_15_8_Gap.txt,3430,3135
VFR50_15_9_Gap.txt,3205,2928
VFR50_15_10_Gap.txt,3399,3104
VFR60_15_1_Gap.txt,3940,3623
VFR60_15_2_Gap.txt,3888,3582
VFR60_15_3_Gap.txt,3880,3590
VFR60_15_4_Gap.txt,3716,3413
VFR60_15_5_Gap.txt,3881,3611
VFR60_15_6_Gap.txt,3893,3598
VFR60_15_7_Gap.txt,3809,3529
VFR60_15_8_Gap.txt,3749,3456
VFR60_15_9_Gap.txt,3800,3512
VFR60_15_10_Gap.txt,3902,3610
VFR10_20_1_Gap.txt,1652,1191
VFR10_20_2_Gap.txt,1759,1273
VFR10_20_3_Gap.txt,1726,1254
VFR10_20_4_Gap.txt,1678,1236
VFR10_20_5_Gap.txt,1700,1259
VFR10_20_6_Gap.txt,1889,1400
VFR10_20_7_Gap.txt,1678,1251
VFR10_20_8_Gap.txt,1655,1235
VFR10_20_9_Gap.txt,1706,1280
VFR10_20_10_Gap.txt,1663,1248
VFR20_20_1_Gap.txt,2270,1741
VFR20_20_2_Gap.txt,2170,1682
VFR20_20_3_Gap.txt,2277,1772
VFR20_20_4_Gap.txt,2165,1685
VFR20_20_5_Gap.txt,2225,1736
VFR20_20_6_Gap.txt,2291,1790
VFR20_20_7_Gap.txt,2282,1785
VFR20_20_8_Gap.txt,2178,1707
VFR20_20_9_Gap.txt,2354,1851
VFR20_20_10_Gap.txt,2199,1732
VFR30_20_1_Gap.txt,2643,2119
VFR30_20_2_Gap.txt,2835,2284
VFR30_20_3_Gap.txt,2783,2265
VFR30_20_4_Gap.txt,2680,2213
VFR30_20_5_Gap.txt,2672,2205
VFR30_20_6_Gap.txt,2715,2245
VFR30_20_7_Gap.txt,2712,2244
VFR30_20_8_Gap.txt,2812,2328
VFR30_20_9_Gap.txt,2795,2318
VFR30_20_10_Gap.txt,2805,2329
VFR40_20_1_Gap.txt,3326,2770
VFR40_20_2_Gap.txt,3226,2697
VFR40_20_3_Gap.txt,3233,2713
VFR40_20_4_Gap.txt,3233,2724
VFR40_20_5_Gap.txt,3055,2571
VFR40_20_6_Gap.txt,3192,2699
VFR40_20_7_Gap.txt,3244,2749
VFR40_20_8_Gap.txt,3266,2764
VFR40_20_9_Gap.txt,3335,2834
VFR40_20_10_Gap.txt,3122,2653
VFR50_20_1_Gap.txt,3693,3164
VFR50_20_2_Gap.txt,3719,3224
VFR50_20_3_Gap.txt,3784,3284
VFR50_20_4_Gap.txt,3709,3231
VFR50_20_5_Gap.txt,3632,3157
VFR50_20_6_Gap.txt,3795,3295
VFR50_20_7_Gap.txt,3696,3219
VFR50_20_8_Gap.txt,3783,3295
VFR50_20_9_Gap.txt,3816,3337
VFR50_20_10_Gap.txt,3769,3301
VFR60_20_1_Gap.txt,4163,3689
VFR60_20_2_Gap.txt,4290,3804
VFR60_20_3_Gap.txt,4365,3870
VFR60_20_4_Gap.txt,4193,3731
VFR60_20_5_Gap.txt,4196,3747
VFR60_20_6_Gap.txt,4202,3764
VFR60_20_7_Gap.txt,4263,3818
VFR60_20_8_Gap.txt,4180,3758
VFR60_20_9_Gap.txt,4221,3764
VFR60_20_10_Gap.txt,4202,3779
VFR100_20_1_Gap.txt,6198,5705
VFR100_20_2_Gap.txt,6306,5836
VFR100_20_3_Gap.txt,6238,5771
VFR100_20_4_Gap.txt,6245,5783
VFR100_20_5_Gap.txt,6296,5876
VFR100_20_6_Gap.txt,6321,5913
VFR100_20_7_Gap.txt,6434,6004
VFR100_20_8_Gap.txt,6104,5694
VFR100_20_9_Gap.txt,6354,5928
VFR100_20_10_Gap.txt,6145,5766
VFR200_20_1_Gap.txt,11305,10928
VFR200_20_2_Gap.txt,11265,10898
VFR200_20_3_Gap.txt,11327,10958
VFR200_20_4_Gap.txt,11208,10857
VFR200_20_5_Gap.txt,11208,10861
VFR200_20_6_Gap.txt,11367,10981
VFR200_20_7_Gap.txt,11380,11034
VFR200_20_8_Gap.txt,11141,10783
VFR200_20_9_Gap.txt,11123,10773
VFR200_20_10_Gap.txt,11310,10965
VFR300_20_1_Gap.txt,16149,15773
VFR300_20_2_Gap.txt,16512,16123
VFR300_20_3_Gap.txt,16173,15835
VFR300_20_4_Gap.txt,16181,15860
VFR300_20_5_Gap.txt,16342,15987
VFR300_20_6_Gap.txt,16137,15804
VFR300_20_7_Gap.txt,16266,15932
VFR300_20_8_Gap.txt,16416,16093
VFR300_20_9_Gap.txt,16376,16059
VFR300_20_10_Gap.txt,16899,16517
VFR400_20_1_Gap.txt,21120,20727
VFR400_20_2_Gap.txt,21457,21092
VFR400_20_3_Gap.txt,21441,21133
VFR400_20_4_Gap.txt,21247,20942
VFR400_20_5_Gap.txt,21553,21203
VFR400_20_6_Gap.txt,21214,20944
VFR400_20_7_Gap.txt,21625,21331
VFR400_20_8_Gap.txt,21277,21029
VFR400_20_9_Gap.txt,21346,21059
VFR400_20_10_Gap.txt,21538,21235
VFR500_20_1_Gap.txt,26411,26071
VFR500_20_2_Gap.txt,26681,26358
VFR500_20_3_Gap.txt,26409,26116
VFR500_20_4_Gap.txt,26124,25844
VFR500_20_5_Gap.txt,26781,26505
VFR500_20_6_Gap.txt,26443,26152
VFR500_20_7_Gap.txt,26433,26163
VFR500_20_8_Gap.txt,26318,26062
VFR500_20_9_Gap.txt,26442,26199
VFR500_20_10_Gap.txt,26072,25838
VFR600_20_1_Gap.txt,31433,31124
VFR600_20_2_Gap.txt,31418,31124
VFR600_20_3_Gap.txt,31429,31186
VFR600_20_4_Gap.txt,31547,31254
VFR600_20_5_Gap.txt,31448,31204
VFR600_20_6_Gap.txt,31717,31470
VFR600_20_7_Gap.txt,31527,31254
VFR600_20_8_Gap.txt,31564,31299
VFR600_20_9_Gap.txt,31577,31320
VFR600_20_10_Gap.txt,31130,30885
VFR700_20_1_Gap.txt,36394,36078
VFR700_20_2_Gap.txt,36337,36032
VFR700_20_3_Gap.txt,36568,36287
VFR700_20_4_Gap.txt,36452,36188
VFR700_20_5_Gap.txt,36584,36380
VFR700_20_6_Gap.txt,36671,36376
VFR700_20_7_Gap.txt,36624,36381
VFR700_20_8_Gap.txt,36522,36287
VFR700_20_9_Gap.txt,36329,36091
VFR700_20_10_Gap.txt,36417,36282
VFR800_20_1_Gap.txt,41558,41256
VFR800_20_2_Gap.txt,41407,41145
VFR800_20_3_Gap.txt,41425,41159
VFR800_20_4_Gap.txt,41426,41157
VFR800_20_5_Gap.txt,41710,41457
VFR800_20_6_Gap.txt,42010,41795
VFR800_20_7_Gap.txt,41425,41138
VFR800_20_8_Gap.txt,41492,41241
VFR800_20_9_Gap.txt,41796,41517
VFR800_20_10_Gap.txt,41574,41331
VFR100_40_1_Gap.txt,7881,6611
VFR100_40_2_Gap.txt,8007,6738
VFR100_40_3_Gap.txt,7935,6698
VFR100_40_4_Gap.txt,7932,6715
VFR100_40_5_Gap.txt,8011,6778
VFR100_40_6_Gap.txt,8023,6816
VFR100_40_7_Gap.txt,8006,6793
VFR100_40_8_Gap.txt,7979,6807
VFR100_40_9_Gap.txt,7931,6758
VFR100_40_10_Gap.txt,7952,6774
VFR200_40_1_Gap.txt,13132,11812
VFR200_40_2_Gap.txt,13102,11735
VFR200_40_3_Gap.txt,13264,11879
VFR200_40_4_Gap.txt,13232,11862
VFR200_40_5_Gap.txt,13043,11662
VFR200_40_6_Gap.txt,13124,11788
VFR200_40_7_Gap.txt,13299,11926
VFR200_40_8_Gap.txt,13238,11864
VFR200_40_9_Gap.txt,13166,11817
VFR200_40_10_Gap.txt,13228,11921
VFR300_40_1_Gap.txt,18298,16764
VFR300_40_2_Gap.txt,18454,17015
VFR300_40_3_Gap.txt,18457,16983
VFR300_40_4_Gap.txt,18351,16914
VFR300_40_5_Gap.txt,18484,17070
VFR300_40_6_Gap.txt,18449,16978
VFR300_40_7_Gap.txt,18419,17049
VFR300_40_8_Gap.txt,18392,16927
VFR300_40_9_Gap.txt,18394,16987
VFR300_40_10_Gap.txt,18401,17007
VFR400_40_1_Gap.txt,23578,22002
VFR400_40_2_Gap.txt,23456,21903
VFR400_40_3_Gap.txt,23575,22099
VFR400_40_4_Gap.txt,23409,21897
VFR400_40_5_Gap.txt,23339,21843
VFR400_40_6_Gap.txt,23444,22011
VFR400_40_7_Gap.txt,23556,22078
VFR400_40_8_Gap.txt,23411,21921
VFR400_40_9_Gap.txt,23637,22109
VFR400_40_10_Gap.txt,23720,22257
VFR500_40_1_Gap.txt,28548,26940
VFR500_40_2_Gap.txt,28793,27162
VFR500_40_3_Gap.txt,28607,27064
VFR500_40_4_Gap.txt,28828,27231
VFR500_40_5_Gap.txt,28683,27109
VFR500_40_6_Gap.txt,28524,26903
VFR500_40_7_Gap.txt,28760,27162
VFR500_40_8_Gap.txt,28698,27215
VFR500_40_9_Gap.txt,28870,27298
VFR500_40_10_Gap.txt,28758,27225
VFR600_40_1_Gap.txt,33839,32219
VFR600_40_2_Gap.txt,33467,31978
VFR600_40_3_Gap.txt,33866,32316
VFR600_40_4_Gap.txt,33693,32162
VFR600_40_5_Gap.txt,33553,32071
VFR600_40_6_Gap.txt,33809,32290
VFR600_40_7_Gap.txt,33686,32203
VFR600_40_8_Gap.txt,33482,32039
VFR600_40_9_Gap.txt,33697,32228
VFR600_40_10_Gap.txt,33642,32235
VFR700_40_1_Gap.txt,38964,37286
VFR700_40_2_Gap.txt,38775,37211
VFR700_40_3_Gap.txt,38621,37080
VFR700_40_4_Gap.txt,38785,37232
VFR700_40_5_Gap.txt,38671,37125
VFR700_40_6_Gap.txt,38710,37186
VFR700_40_7_Gap.txt,38585,36959
VFR700_40_8_Gap.txt,39059,37508
VFR700_40_9_Gap.txt,38814,37261
VFR700_40_10_Gap.txt,38850,37419
VFR800_40_1_Gap.txt,43671,42144
VFR800_40_2_Gap.txt,43746,42197
VFR800_40_3_Gap.txt,43749,42180
VFR800_40_4_Gap.txt,43892,42360
VFR800_40_5_Gap.txt,43905,42473
VFR800_40_6_Gap.txt,43811,42258
VFR800_40_7_Gap.txt,43766,42242
VFR800_40_8_Gap.txt,43839,42362
VFR800_40_9_Gap.txt,43879,42341
VFR800_40_10_Gap.txt,43861,42335
VFR100_60_1_Gap.txt,9395,7502
VFR100_60_2_Gap.txt,9596,7720
VFR100_60_3_Gap.txt,9349,7523
VFR100_60_4_Gap.txt,9426,7596
VFR100_60_5_Gap.txt,9465,7638
VFR100_60_6_Gap.txt,9667,7809
VFR100_60_7_Gap.txt,9391,7576
VFR100_60_8_Gap.txt,9534,7697
VFR100_60_9_Gap.txt,9527,7706
VFR100_60_10_Gap.txt,9598,7774
VFR200_60_1_Gap.txt,14990,12824
VFR200_60_2_Gap.txt,14954,12862
VFR200_60_3_Gap.txt,15200,12996
VFR200_60_4_Gap.txt,15044,12925
VFR200_60_5_Gap.txt,15130,13012
VFR200_60_6_Gap.txt,15035,12952
VFR200_60_7_Gap.txt,15040,12958
VFR200_60_8_Gap.txt,14968,12947
VFR200_60_9_Gap.txt,15022,12878
VFR200_60_10_Gap.txt,15000,12892
VFR300_60_1_Gap.txt,20522,17876
VFR300_60_2_Gap.txt,20399,17750
VFR300_60_3_Gap.txt,20434,17894
VFR300_60_4_Gap.txt,20395,17837
VFR300_60_5_Gap.txt,20341,17791
VFR300_60_6_Gap.txt,20388,17814
VFR300_60_7_Gap.txt,20457,17935
VFR300_60_8_Gap.txt,20410,17918
VFR300_60_9_Gap.txt,20549,18000
VFR300_60_10_Gap.txt,20472,17937
VFR400_60_1_Gap.txt,25607,22867
VFR400_60_2_Gap.txt,25656,22869
VFR400_60_3_Gap.txt,25821,23079
VFR400_60_4_Gap.txt,25837,23097
VFR400_60_5_Gap.txt,25877,23077
VFR400_60_6_Gap.txt,25536,22802
VFR400_60_7_Gap.txt,25600,22868
VFR400_60_8_Gap.txt,25800,23058
VFR400_60_9_Gap.txt,25882,23108
VFR400_60_10_Gap.txt,25767,23104
VFR500_60_1_Gap.txt,30861,27846
VFR500_60_2_Gap.txt,30828,27819
VFR500_60_3_Gap.txt,31125,28045
VFR500_60_4_Gap.txt,30928,28054
VFR500_60_5_Gap.txt,30935,27936
VFR500_60_6_Gap.txt,31027,28091
VFR500_60_7_Gap.txt,30928,27962
VFR500_60_8_Gap.txt,30988,28089
VFR500_60_9_Gap.txt,30978,28098
VFR500_60_10_Gap.txt,31050,28190
VFR600_60_1_Gap.txt,36198,33093
VFR600_60_2_Gap.txt,36184,33108
VFR600_60_3_Gap.txt,36201,33159
VFR600_60_4_Gap.txt,36136,33225
VFR600_60_5_Gap.txt,36153,33093
VFR600_60_6_Gap.txt,36116,33093
VFR600_60_7_Gap.txt,36179,33215
VFR600_60_8_Gap.txt,36185,33206
VFR600_60_9_Gap.txt,36195,33273
VFR600_60_10_Gap.txt,36163,33177
VFR700_60_1_Gap.txt,41436,38230
VFR700_60_2_Gap.txt,41375,38173
VFR700_60_3_Gap.txt,41317,38127
VFR700_60_4_Gap.txt,41401,38287
VFR700_60_5_Gap.txt,41262,38212
VFR700_60_6_Gap.txt,41340,38305
VFR700_60_7_Gap.txt,40876,37882
VFR700_60_8_Gap.txt,41474,38427
VFR700_60_9_Gap.txt,41291,38212
VFR700_60_10_Gap.txt,41377,38368
VFR800_60_1_Gap.txt,46470,43230
VFR800_60_2_Gap.txt,46493,43189
VFR800_60_3_Gap.txt,46389,43271
VFR800_60_4_Gap.txt,46457,43274
VFR800_60_5_Gap.txt,46401,43319
VFR800_60_6_Gap.txt,46421,43210
VFR800_60_7_Gap.txt,46319,43207
VFR800_60_8_Gap.txt,46474,43358
VFR800_60_9_Gap.txt,46538,43406
VFR800_60_10_Gap.txt,46244,43236
